k,ops_rangescan,ops_nplus1,rangescan_us,nplus1_us,speedup
1,1,2,6.460965517241379,9.778629310344828,1.5134934994235942
2,1,3,10.009233333333334,16.682333333333332,1.666694418819956
5,1,6,20.789258333333336,37.686724999999996,1.8127979553543472
10,1,11,39.01155,73.3557,1.8803585092107338
20,1,21,78.35170434782609,148.74037391304347,1.898368071902323
30,1,31,121.69641666666668,231.26588333333333,1.9003508046320179
50,1,51,195.98070833333335,375.97683333333333,1.9184379755065175
